author_id,nome,universidade,cidade,total_artigos_no_recorte,total_artigos_com_macroareas,macro_area_principal_no_recorte,macro_areas_no_recorte,num_macro_areas_no_recorte,macroarea_scores_no_recorte,macroarea_scores_por_tema_no_recorte,temas_no_recorte,total_temas_distintos_no_recorte,temas_no_recorte_com_contagem
57220748550,de Souza Silveira P.T.,Universidade Estadual de Campinas,Campinas,1,1,Tie: Biology | Chemistry | Economics and Business,Chemistry | Engineering | Biology | Economics and Business,4,Chemistry:1 | Engineering:1 | Biology:1 | Economics and Business:1,Chemistry:1 | Engineering:1 | Biology:1 | Economics and Business:1,"Food Science | Business, Management and Accounting (miscellaneous)",2,"Food Science:1 | Business, Management and Accounting (miscellaneous):1"
57220753906,Fernandez E.,Instituto De Pesquisas Jardim Botanico Do Rio De Janerio,Rio de Janeiro,1,1,Biology,Biology,1,Biology:1,Biology:2,"Ecology, Evolution, Behavior and Systematics | Plant Science",2,"Ecology, Evolution, Behavior and Systematics:1 | Plant Science:1"
57220764556,Segala Simionatto V.G.,Universidade Estadual de Campinas,Campinas,1,1,Engineering,Engineering | Physics,2,Engineering:1 | Physics:1,Engineering:4 | Physics:1,Civil and Structural Engineering | Materials Science (all) | Condensed Matter Physics | Mechanics of Materials | Mechanical Engineering,5,Civil and Structural Engineering:1 | Materials Science (all):1 | Condensed Matter Physics:1 | Mechanics of Materials:1 | Mechanical Engineering:1
57220779003,da Silva Nascimento A.M.,Universidade Estadual de Campinas,Campinas,1,1,Medicine and Health,Medicine and Health,1,Medicine and Health:1,Medicine and Health:2,Surgery | Oral Surgery,2,Surgery:1 | Oral Surgery:1
57220779031,de Sousa Menezes A.B.,Université Fédérale de Sergipe,Sao Cristovao,1,1,Medicine and Health,Medicine and Health,1,Medicine and Health:1,Medicine and Health:2,Surgery | Oral Surgery,2,Surgery:1 | Oral Surgery:1
57220779834,Caus R.O.,Universidade Estadual de Campinas,Campinas,6,6,Computer Science,Computer Science | Economics and Business | Mathematics and Statistics,3,Computer Science:6 | Economics and Business:3 | Mathematics and Statistics:2,Computer Science:11 | Economics and Business:6 | Mathematics and Statistics:2,Software | Strategy and Management | Management of Technology and Innovation | Computer Science (all) | Computer Science Applications | Computer Networks and Communications | Computer Graphics and Computer-Aided Design | Computational Theory and Mathematics | Artificial Intelligence | Mathematics (all),10,Software:3 | Strategy and Management:3 | Management of Technology and Innovation:3 | Computer Science (all):3 | Computer Science Applications:1 | Computer Networks and Communications:1 | Computer Graphics and Computer-Aided Design:1 | Computational Theory and Mathematics:1 | Artificial Intelligence:1 | Mathematics (all):1
57220779877,Hochgreb De Freitas V.,GoBots,Campinas,6,6,Computer Science,Computer Science | Economics and Business | Mathematics and Statistics,3,Computer Science:6 | Economics and Business:3 | Mathematics and Statistics:2,Computer Science:14 | Economics and Business:6 | Mathematics and Statistics:2,Software | Strategy and Management | Management of Technology and Innovation | Computer Science (all) | Computer Networks and Communications | Computer Science Applications | Computer Graphics and Computer-Aided Design | Computational Theory and Mathematics | Artificial Intelligence | Mathematics (all) | Human-Computer Interaction | Computer Vision and Pattern Recognition,12,Software:4 | Strategy and Management:3 | Management of Technology and Innovation:3 | Computer Science (all):2 | Computer Networks and Communications:2 | Computer Science Applications:1 | Computer Graphics and Computer-Aided Design:1 | Computational Theory and Mathematics:1 | Artificial Intelligence:1 | Mathematics (all):1 | Human-Computer Interaction:1 | Computer Vision and Pattern Recognition:1
57220780236,Ferreira F.M.S.,Universidade Estadual de Campinas,Campinas,1,1,Engineering,Engineering | Chemistry | Biology,3,Engineering:1 | Chemistry:1 | Biology:1,Engineering:3 | Chemistry:2 | Biology:1,Food Science | Chemical Engineering (all) | Industrial and Manufacturing Engineering,3,Food Science:1 | Chemical Engineering (all):1 | Industrial and Manufacturing Engineering:1
57220780242,Galdino M.,Universität Bielefeld,Bielefeld,1,1,Social Sciences,Social Sciences,1,Social Sciences:1,Social Sciences:1,Social Sciences (miscellaneous),1,Social Sciences (miscellaneous):1
57220784950,de Azevedo A.K.L.,Université Fédérale de Sergipe,Sao Cristovao,1,1,Medicine and Health,Medicine and Health,1,Medicine and Health:1,Medicine and Health:2,Surgery | Oral Surgery,2,Surgery:1 | Oral Surgery:1
57220833571,Veitía B.D.R.,Universidade Tecnológica Federal do Paraná,Curitiba,1,1,Engineering,Engineering,1,Engineering:1,Engineering:3,Materials Science (all) | Mechanics of Materials | Mechanical Engineering,3,Materials Science (all):1 | Mechanics of Materials:1 | Mechanical Engineering:1
57220856799,Guida C.,Universidade Estadual de Campinas,Campinas,2,2,Biology,Biology | Chemistry | Engineering,3,Biology:2 | Chemistry:2 | Engineering:2,Biology:3 | Chemistry:2 | Engineering:2,Food Science | Applied Microbiology and Biotechnology,2,Food Science:2 | Applied Microbiology and Biotechnology:1
57220859011,de Medeiros T.D.M.,Universidade Estadual de Campinas,Campinas,1,1,Chemistry,Chemistry | Engineering | Biology,3,Chemistry:1 | Engineering:1 | Biology:1,Chemistry:2 | Engineering:1 | Biology:1,Analytical Chemistry | Food Science,2,Analytical Chemistry:1 | Food Science:1
57220859054,Costa J.,Universidade Estadual de Campinas,Campinas,1,1,Tie: Other/Unclassified | Philosophy and Humanities | Social Sciences,Social Sciences | Other/Unclassified | Philosophy and Humanities,3,Social Sciences:1 | Other/Unclassified:1 | Philosophy and Humanities:1,Social Sciences:1 | Other/Unclassified:1 | Philosophy and Humanities:1,Education | Developmental and Educational Psychology | Philosophy,3,Education:1 | Developmental and Educational Psychology:1 | Philosophy:1
57220872324,Mendonça M.,University of New Brunswick,Fredericton,1,1,Undefined,Undefined,1,Undefined:1,Undefined:1,Multidisciplinary,1,Multidisciplinary:1
57220874874,Grisi C.V.B.,Universidade Federal da Paraíba,Joao Pessoa,1,1,Tie: Biology | Chemistry | Economics and Business,Chemistry | Engineering | Biology | Economics and Business,4,Chemistry:1 | Engineering:1 | Biology:1 | Economics and Business:1,Chemistry:1 | Engineering:1 | Biology:1 | Economics and Business:1,"Food Science | Business, Management and Accounting (miscellaneous)",2,"Food Science:1 | Business, Management and Accounting (miscellaneous):1"
57220876182,Pontes L.C.B.,Day Care Manager of the Public Educational System,Jundiai,1,1,Tie: Arts | Medicine and Health | Philosophy and Humanities | Social Sciences,Arts | Philosophy and Humanities | Social Sciences | Medicine and Health,4,Arts:1 | Philosophy and Humanities:1 | Social Sciences:1 | Medicine and Health:1,Arts:1 | Philosophy and Humanities:1 | Social Sciences:1 | Medicine and Health:1,Arts and Humanities (miscellaneous) | Social Sciences (miscellaneous) | Psychology (miscellaneous),3,Arts and Humanities (miscellaneous):1 | Social Sciences (miscellaneous):1 | Psychology (miscellaneous):1
57220894804,Harris A.L.N.d.C.,Universidade Estadual de Campinas,Campinas,1,1,Computer Science,Engineering | Computer Science,2,Engineering:1 | Computer Science:1,Engineering:1 | Computer Science:1,Control and Systems Engineering | Computer Science (all),2,Control and Systems Engineering:1 | Computer Science (all):1
57220897367,Teixeira T.L.d.M.,Universidade Estadual de Campinas,Campinas,1,1,Medicine and Health,Medicine and Health,1,Medicine and Health:1,Medicine and Health:2,"Endocrinology, Diabetes and Metabolism | Nutrition and Dietetics",2,"Endocrinology, Diabetes and Metabolism:1 | Nutrition and Dietetics:1"
