author_id:ID(Author),author_name,university,city,author_primary_macroarea,author_macroareas,author_topics,article_count:int,:LABEL
57190278395,da Silva D.P.,Universidade Federal do Parana,Curitiba,Computer Science,Geosciences | Social Sciences | Computer Science,"Geography, Planning and Development | Urban Studies | Nature and Landscape Conservation | Earth and Planetary Sciences (miscellaneous) | Human-Computer Interaction | Computer Networks and Communications | Computer Vision and Pattern Recognition | Software",2,Author
57190280941,Zucatelli F.H.G.,Universidade Estadual de Campinas,Campinas,Chemistry,Computer Science | Chemistry | Biology | Medicine and Health,Theoretical Computer Science | Computer Science (all) | Analytical Chemistry | Biochemistry | Organic Chemistry | Clinical Biochemistry,2,Author
57190286308,da Silva R.H.L.,Universidade Estadual de Campinas,Campinas,Engineering,Engineering | Computer Science,Control and Systems Engineering | Software | Mechanical Engineering | Computer Science Applications | Industrial and Manufacturing Engineering,2,Author
57190287533,Bandeira I.,Institute of Mathematics and Statistics,Sao Paulo,Computer Science,Computer Science,Theoretical Computer Science | Computer Science (all),1,Author
57190287861,de Araujo R.J.,"Instituto Federal de Educação, Ciência e Tecnologia do Sul de Minas Gerais - IFSULDEMINAS",Pouso Alegre,Computer Science,Computer Science,Software | Information Systems | Human-Computer Interaction | Computer Networks and Communications,1,Author
57190288792,Sharapov E.,Volga State University of Technology,Yoshkar-Ola,Tie: Biology | Geosciences,Biology | Geosciences | Engineering,Forestry | Materials Science (all),1,Author
57190290435,Nanicuacua D.M.,Universidade Estadual de Londrina,Londrina,Chemistry,Chemistry | Engineering | Biology,Chemistry (all) | Environmental Chemistry | Biochemistry | Chemical Engineering (all) | Polymers and Plastics | Materials Chemistry,1,Author
57190290524,Guimarães D.S.P.S.F.,Universidade Estadual de Campinas,Campinas,Chemistry,Chemistry | Biology | Medicine and Health,Biochemistry | Clinical Biochemistry | Organic Chemistry,1,Author
57190295944,Fonseca-Ferreira R.,"Universidade Estadual Paulista ""Júlio de Mesquita Filho""",Sao Paulo,Biology,Biology | Other/Unclassified | Geosciences,Ecology | Ecological Modeling | Agricultural and Biological Sciences (miscellaneous) | Nature and Landscape Conservation,1,Author
57190306634,Henao J.R.,Ayudas Diagnósticas Sura Center,Cartagena,Medicine and Health,Medicine and Health,Medicine (all) | Dentistry (all),5,Author
57190307823,Toriumi F.Y.,Universidade de São Paulo,Sao Paulo,Engineering,Engineering,Electrical and Electronic Engineering,1,Author
57190310649,Panza F.,Research Hospital,Bari,Biology,Biology | Medicine and Health | Chemistry,Biotechnology | Biochemistry | Aging | Molecular Biology | Neurology,1,Author
57190311112,Ferreira Caria P.H.,Universidade Estadual de Campinas,Campinas,Medicine and Health,Medicine and Health,Otorhinolaryngology | Dentistry (all),1,Author
57190313040,de Castro R.W.Q.,Universidade Estadual de Campinas,Campinas,Medicine and Health,Medicine and Health,Surgery | Oral Surgery | Otorhinolaryngology,1,Author
57190337571,Marques E.R.G.,Klabin,Sao Paulo,Geosciences,Geosciences,Earth and Planetary Sciences (all),1,Author
57190341711,Texier B.D.,"Fluides, Automatique et Systèmes Thermiques",Orsay,Engineering,Engineering | Computer Science,Computational Mechanics | Modeling and Simulation | Fluid Flow and Transfer Processes,1,Author
57190343674,Vieira-Junior W.F.,Universidade Estadual de Campinas,Campinas,Medicine and Health,Medicine and Health,Dentistry (all),5,Author
57190346673,Cosate de Andrade M.F.,Universidade Estadual de Campinas,Campinas,Engineering,Engineering | Chemistry | Geosciences,Polymers and Plastics | Materials Chemistry | Environmental Engineering | Chemistry (all) | Engineering (all),4,Author
57190370903,Brackenhoff J.,Delft University of Technology,Delft,Geosciences,Geosciences,Geochemistry and Petrology,1,Author
57190371211,Valdez R.M.A.,Universidade Federal de Pernambuco,Recife,Medicine and Health,Medicine and Health,Pathology and Forensic Medicine | Oral Surgery | Otorhinolaryngology | Cancer Research | Periodontics,1,Author
57190378280,Aliberti M.J.R.,Universidade de São Paulo,Sao Paulo,Medicine and Health,Medicine and Health,Gerontology | Geriatrics and Gerontology,1,Author
57190378834,Santana V.P.,Universidade de São Paulo,Sao Paulo,Medicine and Health,Medicine and Health,Reproductive Medicine | Obstetrics and Gynecology,1,Author
57190378873,Munhoz I.P.,"Instituto Federal de Educação, Ciência e Tecnologia de São Paulo",Sao Paulo,Tie: Computer Science | Undefined,Undefined | Computer Science,Decision Sciences (all) | Computer Science (all),1,Author
57190380910,Santos N.J.,"Universidade Estadual Paulista ""Júlio de Mesquita Filho""",Sao Paulo,Biology,Biology | Chemistry | Physics | Computer Science | Medicine and Health,"Catalysis | Molecular Biology | Spectroscopy | Computer Science Applications | Physical and Theoretical Chemistry | Organic Chemistry | Inorganic Chemistry | Biochemistry, Genetics and Molecular Biology (all) | Pharmacology, Toxicology and Pharmaceutics (all)",2,Author
57190382463,Nadai L.,Universidade Estadual de Campinas,Campinas,Social Sciences,Social Sciences | Philosophy and Humanities,Cultural Studies | Anthropology | Sociology and Political Science | Urban Studies,1,Author
57190383090,Ribeiro C.M.,Universidade Estadual de Campinas,Campinas,Medicine and Health,Medicine and Health,Obstetrics and Gynecology,1,Author
